;Lab_ID;year;vineyard;row_ID;unique_rowID;treatment;cover_type;variety;row_disturbance;plot_disturbance;green;dist_type;year.;SOM_perc;CN;N_perc;Cu_mg.kg;Cu_Cat;pH;total_C_perc;clay;sand;plant_cover;plant_spec;plant_simp;plant_shannon;biomass;basal_res;sir;cmic;h2o_perc;wloss_g_perc;wlossr_perc;k;latitude;longitude;elevation;age_trtm;Cu_fungapp;fung_app
207-15;207.15;2015;2;102;102_15;AC;altb;Pinot_noir;3;2;no;mech;2015;10.68639304;0.004739671;0.188;21.95895652;1;7.34;1.703;7.203794333;35.07606222;27;6.5;0.604867725;1.249157295;4.1522;3.153;24.021;638.959;16.66397023;70.19820782;34.14880855;0.014935628;46.30668;7.60748;596.1;37;2.333333333;2.333333333
213-15;213.15;2015;2;202;202_15;AC;altg;Pinot_noir;2;2;green;mech;2015;7.687388235;-0.133296336;0.214;13.77513043;1;7.34;1.915;7.203794333;35.07606222;16;8.5;0.727531564;1.428090509;4.9362;4.915333333;31.08666667;826.903;14.7745098;75.07913619;23.60223808;0.006929185;46.30668;7.60748;596.1;37;2.333333333;2.333333333
214-15;214.15;2015;2;202;202_15;AC;altg;Pinot_noir;2;2;green;mech;2015;7.687388235;-0.133296336;0.214;13.77513043;1;7.34;1.915;7.203794333;35.07606222;16;8.5;0.727531564;1.428090509;4.9362;4.915333333;31.08666667;826.903;14.7745098;75.07913619;23.60223808;0.006929185;46.30668;7.60748;596.1;37;2.333333333;2.333333333
215-15;215.15;2015;3;103;103_15;CC;green;Pinot_noir;1;1;green;green;2015;6.77852413;-1.013598632;0.319;18.58234783;1;6.76;2.631;10.953908;28.93982867;96.125;5.75;0.141823874;0.318151985;5.9358;5.004666667;27.38233333;728.3633333;19.6372549;70.57178161;25.56495251;0.0085204;46.320127;7.616986;726.4;26;1.333333333;2.333333333
216-15;216.15;2015;3;103;103_15;CC;green;Pinot_noir;1;1;green;green;2015;6.77852413;-1.013598632;0.319;18.58234783;1;6.76;2.631;10.953908;28.93982867;96.125;5.75;0.141823874;0.318151985;5.9358;5.004666667;27.38233333;728.3633333;19.6372549;70.57178161;25.56495251;0.0085204;46.320127;7.616986;726.4;26;1.333333333;2.333333333
217-15;217.15;2015;33;233;233_15;AC;altg;Pinot_noir;2;2;green;chem;2015;14.05784082;2.273099465;0.717;52.92191304;2;7.11;7.79;6.937083167;46.97681667;51;8;0.465883909;1.052052093;3.8582;5.488666667;33.54333333;892.249;20.89605735;67.86341463;32.44426671;0.015102981;46.29496;7.540889;569.7;7;NA;2.3
220-15;220.15;2015;33;233;233_15;AC;altg;Pinot_noir;2;2;green;chem;2015;14.05784082;2.273099465;0.717;52.92191304;2;7.11;7.79;6.937083167;46.97681667;51;8;0.465883909;1.052052093;3.8582;5.488666667;33.54333333;892.249;20.89605735;67.86341463;32.44426671;0.015102981;46.29496;7.540889;569.7;7;NA;2.3
226-15;226.15;2015;33;133;133_15;AC;altb;Pinot_noir;3;2;no;chem;2015;5.073318607;0.06776561;0.138;99.726;2;6.95;1.257;6.937083167;46.97681667;16;6;0.535931682;1.12173162;1.8002;4.208;17.78933333;473.1973333;14.1320132;65.67793388;35.37207465;0.018244237;46.29496;7.540889;569.7;7;NA;2.3
227-15;227.15;2015;33;133;133_15;AC;altb;Pinot_noir;3;2;no;chem;2015;5.073318607;0.06776561;0.138;99.726;2;6.95;1.257;6.937083167;46.97681667;16;6;0.535931682;1.12173162;1.8002;4.208;17.78933333;473.1973333;14.1320132;65.67793388;35.37207465;0.018244237;46.29496;7.540889;569.7;7;NA;2.3
229-15;229.15;2015;29;229;229_15;AC;altg;Pinot_noir;2;2;green;mech;2015;5.5814;-0.648063644;0.31;21.92626087;1;6.95;2.647;5.289007;38.54513883;77.375;6.75;0.372299555;0.709454955;6.7982;3.777;22.65066667;602.5096667;13.55519481;65.77122613;26.75342728;0.010427438;46.252469;7.46918;547.1;12;1.666666667;3.666666667
23-15;23.15;2015;8;108;108_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;8.495303001;0.150123424;0.241;66.86121739;2;7.39;2.211;6.253269333;43.39044367;9.5;5;0.205351474;0.345923253;3.8974;3.071333333;18.218;484.5966667;16.4248366;65.01941023;28.59956501;0.012312499;46.27879;7.48561;795.2;30;2;2
232-15;232.15;2015;29;229;229_15;AC;altg;Pinot_noir;2;2;green;mech;2015;5.5814;-0.648063644;0.31;21.92626087;1;6.95;2.647;5.289007;38.54513883;77.375;6.75;0.372299555;0.709454955;6.7982;3.777;22.65066667;602.5096667;13.55519481;65.77122613;26.75342728;0.010427438;46.252469;7.46918;547.1;12;1.666666667;3.666666667
233-15;233.15;2015;3;103;103_15;CC;green;Pinot_noir;1;1;green;green;2015;6.77852413;-1.013598632;0.319;18.58234783;1;6.76;2.631;10.953908;28.93982867;96.125;5.75;0.141823874;0.318151985;5.9358;5.004666667;27.38233333;728.3633333;19.6372549;70.57178161;25.56495251;0.0085204;46.320127;7.616986;726.4;26;1.333333333;2.333333333
234-15;234.15;2015;6;106;106_15;CC;green;Pinot_noir;1;1;green;green;2015;5.642735654;-0.289846355;0.284;46.59608696;1;7.11;2.506;4.332216333;20.766096;38.875;8.5;0.567317626;1.252982166;3.1918;5.056333333;20.10933333;534.91;14.58292444;67.48331291;29.12219896;0.012712939;46.294326;7.540146;563.4;12;NA;2.3
238-15;238.15;2015;6;106;106_15;CC;green;Pinot_noir;1;1;green;green;2015;5.642735654;-0.289846355;0.284;46.59608696;1;7.11;2.506;4.332216333;20.766096;38.875;8.5;0.567317626;1.252982166;3.1918;5.056333333;20.10933333;534.91;14.58292444;67.48331291;29.12219896;0.012712939;46.294326;7.540146;563.4;12;NA;2.3
241-15;241.15;2015;32;232;232_15;AC;altg;Chasselas;2;2;green;chem;2015;10.83490564;-0.2463402;0.198;305.3797391;4;6.67;1.754;2.921489889;67.95855611;24.375;8.25;0.777466819;1.660434566;3.4662;6.889666667;28.33066667;753.5856667;22.72516556;66.77828302;30.21700315;0.012405925;46.19415;7.23142;546.6;3;0.666666667;2.333333333
242-15;242.15;2015;32;132;132_15;AC;altb;Chasselas;3;2;no;chem;2015;21.8526;0.121098888;0.258;441.740087;4;7.02;2.361;2.921489889;67.95855611;0.625;3;0.222222222;0.318257084;3.4662;4.868;23.49466667;624.9583333;21.48859935;66.38041449;34.63795565;0.018541976;46.19415;7.23142;546.6;3;0.666666667;2.333333333
244-15;244.15;2015;3;103;103_15;CC;green;Pinot_noir;1;1;green;green;2015;6.77852413;-1.013598632;0.319;18.58234783;1;6.76;2.631;10.953908;28.93982867;96.125;5.75;0.141823874;0.318151985;5.9358;5.004666667;27.38233333;728.3633333;19.6372549;70.57178161;25.56495251;0.0085204;46.320127;7.616986;726.4;26;1.333333333;2.333333333
245-15;245.15;2015;3;103;103_15;CC;green;Pinot_noir;1;1;green;green;2015;6.77852413;-1.013598632;0.319;18.58234783;1;6.76;2.631;10.953908;28.93982867;96.125;5.75;0.141823874;0.318151985;5.9358;5.004666667;27.38233333;728.3633333;19.6372549;70.57178161;25.56495251;0.0085204;46.320127;7.616986;726.4;26;1.333333333;2.333333333
250-15;250.15;2015;24;124;124_15;AC;altb;Chasselas;3;2;no;chem;2015;8.349020408;-0.214209947;0.259;161.4653043;3;6.58;2.301;9.0179765;35.95442283;0.875;3.5;0.5625;0.866433976;3.8092;4.319;29.41633333;782.475;19.55775578;72.05236621;31.86415787;0.01187738;46.25362;7.40484;601.3;9;1.2;2
25-15;25.15;2015;8;108;108_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;8.495303001;0.150123424;0.241;66.86121739;2;7.39;2.211;6.253269333;43.39044367;9.5;5;0.205351474;0.345923253;3.8974;3.071333333;18.218;484.5966667;16.4248366;65.01941023;28.59956501;0.012312499;46.27879;7.48561;795.2;30;2;2
253-15;253.15;2015;24;124;124_15;AC;altb;Chasselas;3;2;no;chem;2015;8.349020408;-0.214209947;0.259;161.4653043;3;6.58;2.301;9.0179765;35.95442283;0.875;3.5;0.5625;0.866433976;3.8092;4.319;29.41633333;782.475;19.55775578;72.05236621;31.86415787;0.01187738;46.25362;7.40484;601.3;9;1.2;2
256-15;256.15;2015;24;224;224_15;AC;altg;Chasselas;2;2;green;chem;2015;4.961033373;-1.007195758;0.273;146.0922609;3;7.15;2.253;9.0179765;35.95442283;56;7;0.551596074;1.091114969;4.9362;4.923;28.136;748.4296667;15.12987013;68.1942785;29.95055117;0.01217954;46.25362;7.40484;601.3;9;1.2;2
257-15;257.15;2015;24;224;224_15;AC;altg;Chasselas;2;2;green;chem;2015;4.961033373;-1.007195758;0.273;146.0922609;3;7.15;2.253;9.0179765;35.95442283;56;7;0.551596074;1.091114969;4.9362;4.923;28.136;748.4296667;15.12987013;68.1942785;29.95055117;0.01217954;46.25362;7.40484;601.3;9;1.2;2
260-15;260.15;2015;18;118;118_15;AC;altb;Pinot_noir;3;2;no;chem;2015;5.3406;-0.319916522;0.1525;60.8033913;2;6.94;1.342;3.987681833;24.95609667;6;5.25;0.62449827;1.144515756;4.4462;3.085333333;11.061;294.2246667;15.4491018;63.94545348;27.27818033;0.012193508;46.26129;7.505756;622.1;10;NA;3
262-15;262.15;2015;18;118;118_15;AC;altb;Pinot_noir;3;2;no;chem;2015;5.3406;-0.319916522;0.1525;60.8033913;2;6.94;1.342;3.987681833;24.95609667;6;5.25;0.62449827;1.144515756;4.4462;3.085333333;11.061;294.2246667;15.4491018;63.94545348;27.27818033;0.012193508;46.26129;7.505756;622.1;10;NA;3
267-15;267.15;2015;18;218;218_15;AC;altg;Pinot_noir;2;2;green;chem;2015;4.0248;2.21093796;0.184;75.72086957;2;6.59;1.99;3.987681833;24.95609667;83.25;8.25;0.397933524;0.81403091;3.4662;3.523333333;16.95366667;450.9696667;12.21498371;59.56615042;33.69152488;0.022781169;46.26129;7.505756;622.1;10;NA;3
269-15;269.15;2015;18;218;218_15;AC;altg;Pinot_noir;2;2;green;chem;2015;4.0248;2.21093796;0.184;75.72086957;2;6.59;1.99;3.987681833;24.95609667;83.25;8.25;0.397933524;0.81403091;3.4662;3.523333333;16.95366667;450.9696667;12.21498371;59.56615042;33.69152488;0.022781169;46.26129;7.505756;622.1;10;NA;3
273-15;273.15;2015;17;117;117_15;AC;altb;Chasselas;3;2;no;chem;2015;2.238064826;1.045489848;0.133;53.06113043;2;7.3;1.315;3.969442333;32.52099589;9.875;5.5;0.767361111;1.53126465;1.0162;1.470333333;7.674666667;204.1456667;10.84590164;64.82325726;20.45618052;0.007057907;46.262004;7.507652;611.8;10;NA;3
274-15;274.15;2015;17;117;117_15;AC;altb;Chasselas;3;2;no;chem;2015;2.238064826;1.045489848;0.133;53.06113043;2;7.3;1.315;3.969442333;32.52099589;9.875;5.5;0.767361111;1.53126465;1.0162;1.470333333;7.674666667;204.1456667;10.84590164;64.82325726;20.45618052;0.007057907;46.262004;7.507652;611.8;10;NA;3
277-15;277.15;2015;17;217;217_15;AC;altg;Chasselas;2;2;green;chem;2015;6.554686675;-0.28851973;0.28;38.42165217;1;7.03;2.471;3.969442333;32.52099589;85.375;6.25;0.475816127;0.800810725;4.8382;4.364;20.31233333;540.3073333;14.8;59.36286257;26.92589449;0.012631177;46.262004;7.507652;611.8;10;NA;3
279-15;279.15;2015;17;217;217_15;AC;altg;Chasselas;2;2;green;chem;2015;6.554686675;-0.28851973;0.28;38.42165217;1;7.03;2.471;3.969442333;32.52099589;85.375;6.25;0.475816127;0.800810725;4.8382;4.364;20.31233333;540.3073333;14.8;59.36286257;26.92589449;0.012631177;46.262004;7.507652;611.8;10;NA;3
285-15;285.15;2015;9;109;109_15;CC;green;Chasselas;1;1;green;green;2015;6.159984874;1.32337975;0.212;92.25947826;2;7.4;2.143;11.85918267;39.461297;28.875;6.5;0.340717123;0.71876692;3.819;5.701666667;26.483;704.4463333;21.69064748;83.36359941;43.64747256;NA;46.27144;7.46859;606.5;8;0;2.6
286-15;286.15;2015;9;109;109_15;CC;green;Chasselas;1;1;green;green;2015;6.159984874;1.32337975;0.212;92.25947826;2;7.4;2.143;11.85918267;39.461297;28.875;6.5;0.340717123;0.71876692;3.819;5.701666667;26.483;704.4463333;21.69064748;83.36359941;43.64747256;NA;46.27144;7.46859;606.5;8;0;2.6
292-15;292.15;2015;10;110;110_15;aa_BG;aa_bare;Chasselas;4;3;no;chem;2015;4.683262665;1.776423157;0.13;45.86652174;1;7.36;1.361;14.47057;32.09324367;1.125;2.75;0;0;7.5822;3.075333333;11.158;296.8046667;17.65460526;72.53177215;32.22980995;0.012777525;46.27143;7.46939;605.6;34;0;2.6
293-15;293.15;2015;10;110;110_15;aa_BG;aa_bare;Chasselas;4;3;no;chem;2015;4.683262665;1.776423157;0.13;45.86652174;1;7.36;1.361;14.47057;32.09324367;1.125;2.75;0;0;7.5822;3.075333333;11.158;296.8046667;17.65460526;72.53177215;32.22980995;0.012777525;46.27143;7.46939;605.6;34;0;2.6
298-15;298.15;2015;19;119;119_15;CC;green;Pinot_noir;1;1;green;green;2015;7.545916687;-1.789049451;0.265;33.2513913;1;7.21;2.022;8.155599667;46.67750633;60.625;11;0.581410363;1.235241872;4.995;6.267666667;47.73066667;1269.631667;19.42996743;66.62075321;33.42398797;0.015334009;46.29892;7.52267;723.9;31;1.6;2.4
299-15;299.15;2015;19;119;119_15;CC;green;Pinot_noir;1;1;green;green;2015;7.545916687;-1.789049451;0.265;33.2513913;1;7.21;2.022;8.155599667;46.67750633;60.625;11;0.581410363;1.235241872;4.995;6.267666667;47.73066667;1269.631667;19.42996743;66.62075321;33.42398797;0.015334009;46.29892;7.52267;723.9;31;1.6;2.4
300-15;300.15;2015;19;119;119_15;CC;green;Pinot_noir;1;1;green;green;2015;7.545916687;-1.789049451;0.265;33.2513913;1;7.21;2.022;8.155599667;46.67750633;60.625;11;0.581410363;1.235241872;4.995;6.267666667;47.73066667;1269.631667;19.42996743;66.62075321;33.42398797;0.015334009;46.29892;7.52267;723.9;31;1.6;2.4
301-15;301.15;2015;19;119;119_15;CC;green;Pinot_noir;1;1;green;green;2015;7.545916687;-1.789049451;0.265;33.2513913;1;7.21;2.022;8.155599667;46.67750633;60.625;11;0.581410363;1.235241872;4.995;6.267666667;47.73066667;1269.631667;19.42996743;66.62075321;33.42398797;0.015334009;46.29892;7.52267;723.9;31;1.6;2.4
30-15;30.15;2015;12;112;112_15;aa_BG;aa_bare;Chasselas;4;3;no;chem;2015;10.48992485;0.204594598;0.17;115.8594783;3;7.25;1.567;4.336058333;44.018563;3.25;2.75;0.5;0;0.9966;3.305333333;20.01366667;532.3623333;16.3538961;66.97577503;28.73162829;0.011647448;46.173637;7.180159;584.5;36;2;2
